date,trade_count,total_volume_usd,avg_execution_price,avg_start_position,sum_pnl,mean_pnl,win_rate,classification
2023-01-05,3,477.0,1898.1333333333332,0.09193333333333333,0.0,0.0,0.0,Fear
2023-05-12,9,50005.83,11038.3,2.513866666666667,0.0,0.0,0.0,Neutral
2024-01-01,18,264239.52999999997,10373.330666666667,414.7732555555556,-129.53146,-7.196192222222223,0.05555555555555555,Greed
2024-01-02,6,2008.18,0.07612616666666668,18562.666666666668,0.0,0.0,0.0,Greed
2024-01-03,137,472974.7,2.725657408759124,375587.74525547447,8244.241409,60.176944591240876,0.9343065693430657,Greed
2024-01-04,77,339470.47,1332.2278167402596,448724.6416597403,2507.963406,32.57095332467532,0.5454545454545454,Greed
2024-01-05,14,87025.45,2916.8142857142857,62.32951428571429,0.0,0.0,0.0,Greed
2024-01-06,25,12834.62,1.1308718,-47545.904,91.510419,3.66041676,0.36,Greed
2024-01-07,64,362670.14999999997,1312.7375605675,218419.2375734375,5065.839308,79.1537391875,0.40625,Greed
2024-01-08,57,227774.53,18740.473002526316,166376.4956409386,167.080017,2.9312283684210527,0.07017543859649122,Greed
2024-01-09,12,12359.68,44.57331249999999,-1304.8965716666667,137.433093,11.452757750000002,0.4166666666666667,Extreme Greed
2024-01-10,4,139954.32,62044.5,1.83578,0.0,0.0,0.0,Greed
2024-01-11,23,260981.03,27379.532136956524,8083.628513478261,1040.475736,45.238075478260875,0.2608695652173913,Extreme Greed
2024-01-12,416,814711.82,6389.235122030456,18184.968293473583,40886.364494,98.28453003365385,0.53125,Greed
2024-02-01,17,121348.74,10199.892598764705,-46986.74279,783.979116,46.11641858823529,0.47058823529411764,Greed
2024-02-02,42,474278.43,15601.771341142858,3535.838899285714,456.423473,10.867225547619048,0.30952380952380953,Greed
2024-02-03,31,63197.56,0.8005309032258064,-11303.193548387097,230.90060000000005,7.448406451612905,0.6774193548387096,Greed
2024-02-04,41,239664.50999999998,3060.7089024390243,1.1111463414634146,883.760812,21.555141756097562,0.2926829268292683,Greed
2024-02-06,93,29464.51,1.0599227956989248,-4765.8387096774195,192.906947,2.074268247311828,0.3655913978494624,Greed
2024-02-07,18,33347.47,3.4119444444444444,-2891.23615,2421.253116,134.514062,0.7222222222222222,Greed
